Designator,Mid X,Mid Y,Rotation,Layer
C1,58.8,-99.7,0.0,top
C10,150.0,-38.4,180.0,top
C11,158.9,-37.0,270.0,top
C12,125.75,-88.2,180.0,top
C13,128.2,-77.4,180.0,top
C14,127.88,-78.6,0.0,top
C15,125.35,-89.15,0.0,top
C16,119.2,-79.1,90.0,top
C17,125.0,-76.65,90.0,top
C18,124.0,-76.65,270.0,top
C19,122.8,-90.1,180.0,top
C2,59.3,-97.7,270.0,top
C20,125.1,-90.1,0.0,top
C21,128.7,-79.55,0.0,top
C22,101.98,-145.7,180.0,top
C23,116.98,-145.7,180.0,top
C24,131.98,-145.7,180.0,top
C25,130.2,-84.0,0.0,top
C26,116.5,-83.8,180.0,top
C27,42.6,-39.4,270.0,top
C28,147.0,-145.7,180.0,top
C29,34.9,-33.8,90.0,top
C3,61.58,-100.8,180.0,top
C30,33.3,-39.3,90.0,top
C31,55.25,-89.15,270.0,top
C32,60.85,-48.75,0.0,top
C33,32.8,-35.9,0.0,top
C34,38.7,-33.8,270.0,top
C35,131.35,-35.75,270.0,top
C36,129.25,-35.75,270.0,top
C37,52.15,-102.7,270.0,top
C38,60.1,-117.3,180.0,top
C39,122.7,-36.5,270.0,top
C4,56.2,-65.7,270.0,top
C40,60.1,-123.7,180.0,top
C41,68.0,-128.788986,270.0,top
C42,59.05,-125.3,180.0,top
C43,45.15,-108.4,180.0,top
C44,52.15,-106.65,90.0,top
C45,60.05,-111.2,180.0,top
C46,66.45,-136.7,180.0,top
C47,52.7,-142.2,90.0,top
C48,187.5,-147.88,90.0,top
C49,187.5,-122.0,90.0,top
C5,61.5,-74.8,0.0,top
C50,214.5,-122.01,90.0,top
C51,214.5,-135.0,90.0,top
C52,214.5,-148.0,90.0,top
C53,187.5,-134.87,90.0,top
C54,198.2,-135.0,90.0,top
C55,180.5,-86.5,0.0,top
C56,168.55,-86.5,0.0,top
C57,180.5,-70.5,0.0,top
C58,166.8,-70.7,90.0,top
C59,180.5,-54.5,0.0,top
C6,128.08,-67.5,0.0,top
C60,167.5,-54.5,0.0,top
C61,188.25,-46.5,180.0,top
C62,199.8,-35.5,270.0,top
C63,195.9,-38.35,270.0,top
C64,189.75,-37.9,0.0,top
C65,171.7,-96.0,180.0,top
C66,174.05,-35.0375,90.0,top
C67,167.95,-35.0375,90.0,top
C68,210.3,-35.9,270.0,top
C69,199.8,-32.0,90.0,top
C7,157.8,-62.95,90.0,top
C70,214.5,-65.35,180.0,top
C71,186.5,-77.7,0.0,top
C72,173.2,-38.1,180.0,top
C73,210.9,-38.5,180.0,top
C74,164.8,-92.6,90.0,top
C75,173.2,-91.9,270.0,top
C76,169.1,-95.2,0.0,top
C77,195.1,-45.2,180.0,top
C78,187.9,-42.3,270.0,top
C79,40.2,-38.9,0.0,top
C8,156.8,-62.95,90.0,top
C80,39.6,-42.7,180.0,top
C81,167.9875,-72.8,180.0,top
C82,205.8,-102.0,180.0,top
C83,179.85,-107.1,270.0,top
C84,196.65,-109.75,90.0,top
C85,197.95,-100.4,270.0,top
C86,193.15,-109.75,270.0,top
C87,194.8,-99.9,180.0,top
C88,193.0,-100.9,180.0,top
C89,43.3,-64.5,270.0,top
C9,156.2,-38.95,0.0,top
C90,46.0,-59.3,0.0,top
C91,46.38,-67.7,180.0,top
C92,40.4,-108.25,180.0,top
D1,208.0,-103.0,270.0,top
D10,131.5,-147.5,180.0,top
D11,136.5,-147.5,180.0,top
D12,141.5,-147.5,180.0,top
D13,146.5,-147.5,180.0,top
D14,60.95,-126.438986,270.0,top
D15,59.8,-133.4,180.0,top
D16,141.2,-38.4,180.0,top
D17,124.0,-41.0,0.0,top
D18,52.75,-110.6,180.0,top
D19,52.75,-109.1,180.0,top
D2,55.45,-33.25,180.0,top
D20,212.8,-31.9,0.0,top
D21,212.8,-33.4,0.0,top
D22,186.2,-81.9,180.0,top
D23,196.35,-43.2,180.0,top
D24,59.0,-69.9,0.0,top
D25,68.6,-132.2,90.0,top
D3,57.8,-66.3,90.0,top
D4,101.5,-147.5,180.0,top
D5,106.5,-147.5,180.0,top
D6,111.5,-147.5,180.0,top
D7,116.5,-147.5,180.0,top
D8,121.5,-147.5,180.0,top
D9,126.5,-147.5,180.0,top
J1,66.0,-95.0,90.0,top
J10,131.5,-51.0,90.0,top
J11,149.5,-51.0,90.0,top
J12,101.5,-51.0,90.0,top
J13,119.5,-51.0,90.0,top
J14,137.5,-51.0,90.0,top
J16,107.5,-51.0,90.0,top
J17,125.5,-51.0,90.0,top
J18,143.5,-51.0,90.0,top
J19,34.5,-127.11,180.0,top
J2,44.75,-111.35,0.0,top
J20,59.0,-62.0,180.0,top
J21,90.5,-52.89,0.0,top
J22,153.0,-33.0,180.0,top
J23,193.5,-32.5,180.0,top
J25,176.325,-92.8,0.0,top
J26,43.4325,-77.0,90.0,top
J27,175.9325,-41.7,90.0,top
J28,34.27,-86.81,0.0,top
J3,54.0,-92.0,180.0,top
J4,55.27,-133.31,0.0,top
J5,49.5,-45.995,270.0,top
J7,124.0,-32.1,0.0,top
J8,95.5,-51.0,90.0,top
J9,113.5,-51.0,90.0,top
L1,62.15,-114.8,270.0,top
L2,64.5,-124.5,180.0,top
L3,168.95,-38.0375,180.0,top
Q1,123.95,-92.35,180.0,top
Q2,60.7,-66.4,180.0,top
Q3,64.9,-134.9,90.0,top
Q4,186.5625,-74.7,90.0,top
Q5,159.85,-39.65,0.0,top
R1,60.3,-97.69,90.0,top
R100,50.2,-89.15,270.0,top
R101,52.75,-89.15,90.0,top
R102,214.45,-78.2,0.0,top
R103,214.45,-79.25,180.0,top
R104,203.5,-37.95,270.0,top
R105,202.55,-37.95,270.0,top
R106,196.75,-50.9,0.0,top
R107,41.6,-39.4,90.0,top
R108,36.85,-129.05,270.0,top
R109,205.8,-101.05,0.0,top
R110,166.0875,-72.8,0.0,top
R111,195.7,-109.75,270.0,top
R112,197.6,-109.75,270.0,top
R113,196.95,-100.4,90.0,top
R114,198.9,-100.4,90.0,top
R115,194.15,-109.75,90.0,top
R116,195.45,-100.9,180.0,top
R117,191.25,-109.75,90.0,top
R118,192.2,-109.75,270.0,top
R119,192.05,-99.95,0.0,top
R12,58.0,-73.15,0.0,top
R120,191.55,-101.4,90.0,top
R121,43.3,-62.5,90.0,top
R122,48.2,-59.3,0.0,top
R123,39.8,-62.0,180.0,top
R124,56.65,-139.55,0.0,top
R125,54.69,-126.2,180.0,top
R13,58.0,-72.15,0.0,top
R14,58.0,-74.45,0.0,top
R15,160.8,-62.95,270.0,top
R16,159.8,-62.95,270.0,top
R17,155.8,-62.95,270.0,top
R18,158.8,-62.95,270.0,top
R19,159.45,-35.5,180.0,top
R2,60.3,-92.31,270.0,top
R20,151.65,-38.9,90.0,top
R21,160.0,-37.0,270.0,top
R23,65.7,-131.038986,0.0,top
R24,154.0,-38.9,90.0,top
R25,153.0,-38.9,90.0,top
R26,36.3,-34.3,180.0,top
R27,36.29,-33.3,0.0,top
R28,33.9,-33.8,90.0,top
R29,37.7,-33.8,90.0,top
R3,61.61,-89.2,180.0,top
R30,33.3,-41.2,90.0,top
R31,40.1,-33.4,0.0,top
R32,40.1,-41.3,270.0,top
R33,40.2,-39.9,180.0,top
R34,48.15,-108.4,180.0,top
R35,33.3,-37.4,90.0,top
R36,32.3,-37.4,270.0,top
R37,99.6,-145.7,180.0,top
R38,126.9,-36.5,90.0,top
R39,125.3,-36.5,270.0,top
R4,138.25,-77.05,0.0,top
R40,187.5,-132.0,90.0,top
R41,214.5,-145.0,90.0,top
R42,214.5,-131.99,90.0,top
R43,214.5,-119.9,90.0,top
R44,187.5,-145.0,90.0,top
R45,187.5,-119.8,90.0,top
R46,61.4,-130.338986,90.0,top
R47,59.05,-126.25,0.0,top
R48,59.05,-127.2,0.0,top
R49,53.0,-32.4,0.0,top
R5,118.4,-84.6,0.0,top
R50,53.0,-33.5,180.0,top
R51,119.2,-75.65,90.0,top
R52,42.3,-108.25,0.0,top
R53,58.8,-131.7,270.0,top
R54,55.2,-110.85,0.0,top
R55,143.7,-38.55,0.0,top
R56,121.55,-41.0,180.0,top
R57,55.85,-100.45,180.0,top
R58,55.2,-108.85,180.0,top
R59,57.85,-111.2,270.0,top
R6,116.5,-85.5,0.0,top
R60,56.95,-113.2,270.0,top
R61,68.5,-134.4,0.0,top
R62,68.5,-135.4,0.0,top
R63,55.2,-109.85,180.0,top
R64,63.4,-131.838986,180.0,top
R65,68.0,-142.2,180.0,top
R66,197.65,-138.65,180.0,top
R67,60.1,-94.0,180.0,top
R68,60.1,-95.0,180.0,top
R69,183.5,-86.5,0.0,top
R7,118.4,-86.0,0.0,top
R70,170.5,-86.5,0.0,top
R71,183.5,-70.5,0.0,top
R72,167.8,-70.71,270.0,top
R73,183.5,-54.5,0.0,top
R74,170.5,-54.5,0.0,top
R75,188.3,-45.55,180.0,top
R76,174.45,-94.9,0.0,top
R77,197.2,-47.9,0.0,top
R78,197.2,-46.95,0.0,top
R79,191.65,-38.05,180.0,top
R8,119.0,-87.0,0.0,top
R80,194.35,-38.05,0.0,top
R81,189.7,-38.85,0.0,top
R82,172.95,-32.65,180.0,top
R83,171.0,-32.65,180.0,top
R84,201.4,-31.6,90.0,top
R85,210.3,-31.7,180.0,top
R86,210.3,-32.7,0.0,top
R87,210.3,-33.7,0.0,top
R90,174.55,-32.35,270.0,top
R91,188.25,-47.7,0.0,top
R92,211.7,-56.7,0.0,top
R93,164.8,-90.65,90.0,top
R94,167.25,-95.2,180.0,top
R95,177.5,-94.9,0.0,top
R96,39.3,-126.7,315.0,top
R97,40.35,-129.05,270.0,top
R98,39.15,-129.05,270.0,top
R99,38.0,-129.05,270.0,top
RV1,185.5,-93.5,270.0,top
RV2,185.5,-101.5,270.0,top
RV3,185.5,-109.5,270.0,top
RV4,34.74,-64.0,270.0,top
RV8,65.5,-46.26,0.0,top
RV9,35.0,-46.25,0.0,top
SW0,39.75,-100.5,180.0,top
SW1,94.0,-133.0,90.0,top
SW10,114.0,-93.0,90.0,top
SW11,134.0,-93.0,90.0,top
SW12,154.0,-93.0,90.0,top
SW13,94.0,-73.0,90.0,top
SW14,114.0,-73.0,90.0,top
SW15,134.0,-73.0,90.0,top
SW16,154.0,-73.0,90.0,top
SW17,158.0,-46.0,270.0,top
SW18,158.0,-56.0,270.0,top
SW19,193.0,-133.5,0.0,top
SW2,114.0,-133.0,90.0,top
SW20,209.0,-146.5,0.0,top
SW21,209.0,-133.5,0.0,top
SW22,209.0,-120.5,0.0,top
SW23,64.0,-145.5,0.0,top
SW24,64.0,-34.0,180.0,top
SW25,55.7,-145.0,270.0,top
SW26,193.0,-146.5,0.0,top
SW27,193.0,-120.5,0.0,top
SW28,172.0,-105.0,270.0,top
SW29,182.0,-81.0,270.0,top
SW3,134.0,-133.0,90.0,top
SW30,169.0,-81.0,270.0,top
SW31,182.0,-65.0,270.0,top
SW32,169.0,-65.0,270.0,top
SW33,182.0,-49.0,270.0,top
SW34,169.0,-49.0,270.0,top
SW35,181.0,-35.0,180.0,top
SW36,193.0,-50.9,0.0,top
SW37,193.0,-56.2,0.0,top
SW38,55.4,-121.0,270.0,top
SW4,154.0,-133.0,90.0,top
SW5,94.0,-113.0,90.0,top
SW6,114.0,-113.0,90.0,top
SW7,134.0,-113.0,90.0,top
SW8,154.0,-113.0,90.0,top
SW9,94.0,-93.0,90.0,top
U1,136.05,-34.75,270.0,top
U10,59.1375,-114.25,270.0,top
U11,77.0,-90.0,90.0,top
U12,205.6,-32.8,270.0,top
U13,171.0,-34.8375,180.0,top
U14,169.0,-92.0,270.0,top
U15,189.5,-42.5,180.0,top
U16,40.6,-36.1875,180.0,top
U17,167.3,-74.7,90.0,top
U18,195.05,-105.1,0.0,top
U19,46.5,-63.5,180.0,top
U2,206.2,-47.0,270.0,top
U3,124.0,-83.0,90.0,top
U4,64.0,-128.738986,180.0,top
U5,36.5,-38.5,0.0,top
U6,55.85,-104.65,180.0,top
U7,60.8,-73.1,0.0,top
U8,124.0,-70.5,270.0,top
U9,44.0,-138.0,180.0,top
