Comment,Designator,Footprint,JLCPCB Part #（optional）
22uF,"C1, C35, C36, C37, C38, C40, C41, C44, C45, C62, C66, C67, C68, C69, C72, C9",C0805,C29277
100nF,"C10, C11, C12, C15, C16, C17, C18, C2, C21, C25, C26, C3, C4, C46, C47, C48, C49, C5, C50, C51, C52, C53, C55, C56, C57, C58, C59, C6, C60, C63, C64, C65, C7, C71, C73, C77, C78, C8, C92",C0402,C5137468
1uF,"C13, C14, C22, C23, C24, C27, C28, C29, C30, C31, C32, C33, C34, C39, C42, C43, C54, C61, C70, C74, C75, C76, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91",C0402,C14445
15pF,"C19, C20",C0402,C1548
TEMD7000X01,"D1, D24",D0805,C145328
WS2812B-2020,"D10, D11, D12, D13, D23, D4, D5, D6, D7, D8, D9","SMD,2.2x2mm",C965555
D,"D14, D22, D25, D3",D_SOD-323,C7528893
RED,"D15, D16, D17, D2, D18, D20",D0603,C19712529
BLUE,"D19, D21",D0603,C7496819
USB_C_Receptacle_USB2.0_16P,"J1, J22, J23",USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C963413
Conn_02x04_Odd_Even,J15,PinSocket_2x04_P2.54mm_Vertical,C92271
Conn_01x08_Pin,J19,PinHeader_1x08_P2.54mm_Horizontal,C5383100
Conn_01x08_Socket,"J2, J20",TE_0-1734839-8_1x08-1MP_P0.5mm_Horizontal,C19273926
Conn_01x08_Socket,J21,PinSocket_1x08_P2.54mm_Horizontal,C2935998
Conn_01x02,"J25, J26, J27",Hirose_DF13-02P-1.25DS_1x02_P1.25mm_Horizontal,C519002
Conn_02x04_Odd_Even,"J28, J4, J5",PinHeader_2x04_P2.54mm_Vertical,C5383105
2.2uH,"L1, L3",L2x1.6x1mm,C2986787
10uH,L2,L4x4x3mm,C98364
Crystal_GND24,Q1,X3225-4P,C9002
NPN,"Q2, Q3, Q4, Q5",SOT-23,C609807
5K1,"R1, R100, R101, R102, R103, R104, R105, R106, R12, R121, R124, R125, R13, R14, R17, R18, R19, R2, R20, R21, R3, R38, R39, R46, R49, R5, R6, R61, R64, R65, R7, R79, R8, R80, R81, R91, R92, R94",402,C25905
1K,"R107, R110, R123, R4, R50, R51, R52, R53, R54, R55, R56, R57, R58, R63, R66, R75, R84, R85, R86, R87, R90, R95",402,C25543
27R,"R108, R15, R16, R24, R25, R37, R67, R68, R77, R78, R96, R97, R98, R99",402,C25156
47K,"R109, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R122, R23, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R40, R41, R42, R43, R44, R45, R47, R48, R59, R62, R69, R70, R71, R72, R73, R74, R76, R82, R93",402,C100659
215K,"R60, R83",402,C11489
R_Potentiometer,"RV1, RV2, RV3, RV4, RV8, RV9",Potentiometer_Runtron_RM-065_Vertical,C5205043
SW_SPST,"SW0, SW28",SW_PUSH-12mm,C18186453
SW_SPST,"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW19, SW2, SW20, SW21, SW22, SW26, SW27, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW4, SW5, SW6, SW7, SW8, SW9, SW17, SW37, SW38, SW18, SW25, SW36",SW_SPST_TL3305C,C2888974
SW_SPDT_321,"SW23, SW24, SW35",SW_Slide_SPDT_Angled_CK_OS102011MA1Q,C7272161
AMS1117-3.3,U1,SOT-223-3_TabPin2,C18164485
TLV62565DBVx,"U10, U13",SOT-23-5,C87122
TP4056,"U12, U6",SOIC-8-1EP_3.9x4.9mm_P1.27mm,TP4056
FM8002,"U14, U19",SOIC-8_3.9x4.9mm_P1.27mm,C94625
LIS2DH,"U15, U7",LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y,C110926
LMA3722T421-OA5,"U16, U17",LMA3722T421,C5373233
TLV2372,"U18, U5",SOIC-8_3.9x4.9mm_P1.27mm,C27204
ESP32-S2-MINI-2,"U2, U9",ESP32-S2-MINI-2,C3013906
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
MT3608L,U4,SOT-23-6,C2932326
W25Q128JVS,U8,SOIC-8_5.3x5.3mm_P1.27mm,C97521
